transaction_id,date,product_id,store_id,units_sold,sales_revenue
T000050,2024-01-06,P009,S02,28,2114.56
T000051,2024-01-06,P001,S01,4,237.84
T000052,2024-01-06,P003,S01,19,4975.34
T000053,2024-01-06,P009,S01,27,2039.04
T000054,2024-01-06,P005,S03,18,3902.4
T000055,2024-01-07,P008,S01,23,5801.75
T000056,2024-01-07,P004,S03,29,5403.28
T000057,2024-01-07,P002,S02,19,599.45
T000058,2024-01-07,P001,S01,5,297.3
T000059,2024-01-07,P002,S02,21,662.5500000000001
T000060,2024-01-07,P001,S02,5,297.3
T000061,2024-01-07,P005,S01,17,3685.6000000000004
T000062,2024-01-07,P003,S02,15,3927.9
T000063,2024-01-07,P009,S03,23,1736.9599999999998
T000064,2024-01-08,P002,S01,20,631.0
T000065,2024-01-08,P008,S01,19,4792.75
T000066,2024-01-08,P004,S01,20,3726.3999999999996
T000067,2024-01-08,P004,S01,22,4099.04
T000068,2024-01-08,P001,S02,6,356.76
T000069,2024-01-08,P004,S03,24,4471.68
T000070,2024-01-08,P010,S02,11,735.02
T000071,2024-01-08,P008,S03,17,4288.25
T000072,2024-01-08,P010,S02,15,1002.3
T000073,2024-01-08,P009,S03,21,1585.9199999999998
T000074,2024-01-09,P001,S02,4,237.84
T000075,2024-01-09,P003,S03,17,4451.62
T000076,2024-01-09,P001,S01,6,356.76
T000077,2024-01-09,P003,S01,17,4451.62
T000078,2024-01-09,P009,S02,23,1736.9599999999998
T000079,2024-01-09,P009,S03,27,2039.04
T000080,2024-01-09,P003,S03,14,3666.04
T000081,2024-01-09,P005,S01,13,2818.4
T000082,2024-01-09,P001,S02,5,297.3
T000083,2024-01-09,P006,S02,18,375.66
T000084,2024-01-09,P002,S03,11,347.05
T000085,2024-01-09,P001,S03,3,178.38
T000086,2024-01-10,P002,S03,17,536.35
T000087,2024-01-10,P010,S01,15,1002.3
T000088,2024-01-10,P009,S01,23,1736.9599999999998
T000089,2024-01-10,P005,S03,11,2384.8
T000090,2024-01-10,P005,S01,12,2601.6000000000004
T000091,2024-01-11,P010,S01,19,1269.58
T000092,2024-01-11,P008,S02,17,4288.25
T000093,2024-01-11,P002,S02,18,567.9
T000094,2024-01-11,P010,S03,14,935.4799999999999
T000095,2024-01-11,P004,S03,20,3726.3999999999996
T000096,2024-01-11,P002,S01,12,378.6
T000097,2024-01-11,P003,S01,14,3666.04
T000098,2024-01-11,P010,S02,15,1002.3
T000099,2024-01-11,P006,S02,16,333.92
T000100,2024-01-11,P002,S02,21,662.5500000000001
T000101,2024-01-11,P005,S03,16,3468.8
T000102,2024-01-11,P002,S03,11,347.05
T000103,2024-01-12,P005,S02,12,2601.6000000000004
T000104,2024-01-12,P002,S01,14,441.7
T000105,2024-01-12,P006,S01,22,459.14000000000004
T000106,2024-01-12,P004,S02,17,3167.44
T000107,2024-01-12,P009,S01,22,1661.4399999999998
T000108,2024-01-13,P006,S01,21,438.27000000000004
T000109,2024-01-13,P009,S01,24,1812.48
T000110,2024-01-13,P003,S03,20,5237.200000000001
T000111,2024-01-13,P007,S01,36,10491.12
T000112,2024-01-13,P008,S03,23,5801.75
T000113,2024-01-13,P009,S03,25,1888.0
T000114,2024-01-13,P010,S03,24,1603.6799999999998
T000115,2024-01-13,P009,S01,26,1963.52
T000116,2024-01-13,P004,S03,29,5403.28
T000117,2024-01-13,P001,S03,2,118.92
T000118,2024-01-13,P006,S03,26,542.62
T000119,2024-01-13,P003,S03,20,5237.200000000001
T000120,2024-01-13,P007,S02,34,9908.28
T000121,2024-01-14,P009,S01,25,1888.0
T000122,2024-01-14,P001,S01,8,475.68
T000123,2024-01-14,P003,S03,18,4713.4800000000005
T000124,2024-01-14,P004,S03,27,5030.639999999999
T000125,2024-01-14,P002,S03,18,567.9
T000126,2024-01-14,P010,S02,22,1470.04
T000127,2024-01-14,P008,S01,22,5549.5
T000128,2024-01-14,P005,S03,17,3685.6000000000004
T000129,2024-01-14,P005,S01,19,4119.2
T000130,2024-01-14,P005,S02,20,4336.0
T000131,2024-01-14,P004,S02,24,4471.68
T000132,2024-01-15,P002,S01,13,410.15000000000003
T000133,2024-01-15,P008,S01,20,5045.0
T000134,2024-01-15,P009,S02,25,1888.0
T000135,2024-01-15,P003,S02,16,4189.76
T000136,2024-01-15,P005,S01,15,3252.0
T000137,2024-01-15,P008,S03,18,4540.5
T000138,2024-01-16,P003,S01,17,4451.62
T000139,2024-01-16,P009,S01,22,1661.4399999999998
T000140,2024-01-16,P008,S03,17,4288.25
T000141,2024-01-16,P001,S02,4,237.84
T000142,2024-01-16,P009,S03,23,1736.9599999999998
T000143,2024-01-16,P006,S03,22,459.14000000000004
T000144,2024-01-16,P005,S01,13,2818.4
T000145,2024-01-16,P004,S03,23,4285.36
T000146,2024-01-16,P008,S01,21,5297.25
T000147,2024-01-16,P010,S01,15,1002.3
T000148,2024-01-16,P008,S02,19,4792.75
T000149,2024-01-17,P009,S02,21,1585.9199999999998
T000150,2024-01-17,P010,S01,17,1135.9399999999998
T000151,2024-01-17,P009,S03,22,1661.4399999999998
T000152,2024-01-17,P005,S03,9,1951.2
T000153,2024-01-17,P003,S01,16,4189.76
T000154,2024-01-17,P010,S03,14,935.4799999999999
T000155,2024-01-17,P009,S03,26,1963.52
T000156,2024-01-17,P005,S03,16,3468.8
T000157,2024-01-17,P003,S02,16,4189.76
T000158,2024-01-17,P010,S02,20,1336.3999999999999
T000159,2024-01-17,P002,S03,17,536.35
T000160,2024-01-17,P004,S01,17,3167.44
T000161,2024-01-17,P001,S03,11,654.0600000000001
T000162,2024-01-18,P003,S02,16,4189.76
T000163,2024-01-18,P007,S03,31,9034.02
T000164,2024-01-18,P001,S03,6,356.76
T000165,2024-01-18,P007,S02,24,6994.08
T000166,2024-01-18,P010,S01,16,1069.12
T000167,2024-01-18,P002,S02,16,504.8
T000168,2024-01-18,P006,S02,17,354.79
T000169,2024-01-18,P002,S03,15,473.25
T000170,2024-01-18,P009,S02,26,1963.52
T000171,2024-01-18,P002,S02,14,441.7
T000172,2024-01-18,P006,S01,20,417.40000000000003
T000173,2024-01-18,P001,S02,5,297.3
T000174,2024-01-18,P004,S02,21,3912.72
T000175,2024-01-19,P009,S03,23,1736.9599999999998
T000176,2024-01-19,P005,S02,16,3468.8
T000177,2024-01-19,P008,S01,21,5297.25
T000178,2024-01-19,P001,S02,4,237.84
T000179,2024-01-19,P007,S02,18,5245.56
T000180,2024-01-20,P010,S03,19,1269.58
T000181,2024-01-20,P006,S02,27,563.49
T000182,2024-01-20,P004,S02,27,5030.639999999999
T000183,2024-01-20,P001,S03,9,535.14
T000184,2024-01-20,P006,S03,24,500.88
T000185,2024-01-20,P007,S02,23,6702.660000000001
T000186,2024-01-20,P006,S02,28,584.36
T000187,2024-01-20,P006,S02,24,500.88
T000188,2024-01-20,P003,S03,17,4451.62
T000189,2024-01-20,P003,S01,17,4451.62
T000190,2024-01-20,P004,S03,26,4844.32
T000191,2024-01-21,P006,S02,23,480.01000000000005
T000192,2024-01-21,P009,S03,26,1963.52
T000193,2024-01-21,P003,S02,20,5237.200000000001
T000194,2024-01-21,P008,S02,19,4792.75
T000195,2024-01-21,P009,S01,24,1812.48
T000196,2024-01-21,P010,S01,22,1470.04
T000197,2024-01-21,P009,S03,24,1812.48
T000198,2024-01-21,P005,S01,14,3035.2000000000003
T000199,2024-01-22,P006,S03,18,375.66
T000200,2024-01-22,P003,S02,15,3927.9
T000201,2024-01-22,P010,S02,13,868.6599999999999
T000202,2024-01-22,P008,S02,17,4288.25
T000203,2024-01-22,P009,S03,23,1736.9599999999998
T000204,2024-01-22,P002,S02,15,473.25
T000205,2024-01-22,P009,S01,21,1585.9199999999998
T000206,2024-01-22,P002,S01,21,662.5500000000001
T000207,2024-01-22,P004,S01,21,3912.72
T000208,2024-01-22,P001,S03,6,356.76
T000209,2024-01-22,P004,S01,19,3540.08
T000210,2024-01-22,P006,S01,19,396.53000000000003
T000211,2024-01-22,P003,S03,17,4451.62
T000212,2024-01-23,P003,S03,17,4451.62
T000213,2024-01-23,P001,S01,2,118.92
T000214,2024-01-23,P003,S01,16,4189.76
T000215,2024-01-23,P002,S02,13,410.15000000000003
T000216,2024-01-23,P009,S02,22,1661.4399999999998
T000217,2024-01-23,P004,S02,20,3726.3999999999996
T000218,2024-01-23,P001,S01,4,237.84
T000219,2024-01-24,P002,S03,17,536.35
T000220,2024-01-24,P009,S02,25,1888.0
T000221,2024-01-24,P001,S02,5,297.3
T000222,2024-01-24,P004,S01,19,3540.08
T000223,2024-01-24,P005,S03,13,2818.4
T000224,2024-01-25,P009,S01,24,1812.48
T000225,2024-01-25,P005,S01,12,2601.6000000000004
T000226,2024-01-25,P006,S03,18,375.66
T000227,2024-01-25,P003,S03,16,4189.76
T000228,2024-01-25,P010,S02,17,1135.9399999999998
T000229,2024-01-25,P006,S03,21,438.27000000000004
T000230,2024-01-25,P008,S01,20,5045.0
T000231,2024-01-25,P007,S01,19,5536.9800000000005
T000232,2024-01-25,P009,S01,24,1812.48
T000233,2024-01-25,P001,S02,3,178.38
T000234,2024-01-25,P008,S03,20,5045.0
T000235,2024-01-25,P007,S01,18,5245.56
T000236,2024-01-26,P010,S02,13,868.6599999999999
T000237,2024-01-26,P007,S01,17,4954.14
T000238,2024-01-26,P008,S02,19,4792.75
T000239,2024-01-26,P005,S01,14,3035.2000000000003
T000240,2024-01-26,P002,S02,17,536.35
T000241,2024-01-26,P007,S01,19,5536.9800000000005
T000242,2024-01-26,P009,S01,19,1434.8799999999999
T000243,2024-01-26,P009,S02,23,1736.9599999999998
T000244,2024-01-26,P005,S01,14,3035.2000000000003
T000245,2024-01-26,P008,S02,18,4540.5
T000246,2024-01-26,P007,S02,19,5536.9800000000005
T000247,2024-01-27,P008,S03,24,6054.0
T000248,2024-01-27,P003,S01,17,4451.62
T000249,2024-01-27,P007,S01,23,6702.660000000001
T000250,2024-01-27,P006,S03,23,480.01000000000005
T000251,2024-01-27,P003,S01,19,4975.34
T000252,2024-01-27,P004,S02,37,6893.84
T000253,2024-01-27,P004,S02,39,7266.48
T000254,2024-01-27,P007,S02,21,6119.820000000001
T000255,2024-01-27,P003,S02,19,4975.34
T000256,2024-01-27,P005,S03,18,3902.4
T000257,2024-01-27,P008,S02,20,5045.0
T000258,2024-01-27,P003,S03,18,4713.4800000000005
T000259,2024-01-27,P003,S03,16,4189.76
T000260,2024-01-27,P009,S03,30,2265.6
T000261,2024-01-28,P005,S02,14,3035.2000000000003
T000262,2024-01-28,P007,S01,22,6411.240000000001
T000263,2024-01-28,P007,S01,21,6119.820000000001
T000264,2024-01-28,P007,S02,23,6702.660000000001
T000265,2024-01-28,P001,S02,5,297.3
T000266,2024-01-28,P009,S02,26,1963.52
T000267,2024-01-28,P010,S01,19,1269.58
T000268,2024-01-28,P008,S03,23,5801.75
T000269,2024-01-28,P010,S01,22,1470.04
T000270,2024-01-29,P007,S03,17,4954.14
T000271,2024-01-29,P003,S03,18,4713.4800000000005
T000272,2024-01-29,P010,S03,15,1002.3
T000273,2024-01-29,P006,S01,24,500.88
T000274,2024-01-29,P010,S01,17,1135.9399999999998
T000275,2024-01-29,P002,S03,18,567.9
T000276,2024-01-29,P009,S03,21,1585.9199999999998
T000277,2024-01-29,P007,S01,17,4954.14
T000278,2024-01-29,P006,S01,18,375.66
T000279,2024-01-29,P005,S01,15,3252.0
T000280,2024-01-29,P002,S03,16,504.8
T000281,2024-01-30,P009,S03,23,1736.9599999999998
T000282,2024-01-30,P004,S03,34,6334.88
T000283,2024-01-30,P007,S01,17,4954.14
T000284,2024-01-30,P003,S03,20,5237.200000000001
T000285,2024-01-30,P010,S01,16,1069.12
T000286,2024-01-30,P002,S03,15,473.25
T000287,2024-01-30,P002,S03,14,441.7
T000288,2024-01-30,P002,S02,12,378.6
T000289,2024-01-30,P002,S02,19,599.45
T000290,2024-01-30,P009,S01,24,1812.48
T000291,2024-01-30,P004,S02,31,5775.92
T000292,2024-01-31,P005,S01,15,3252.0
T000293,2024-01-31,P004,S01,31,5775.92
T000294,2024-01-31,P004,S01,27,5030.639999999999
T000295,2024-01-31,P008,S03,16,4036.0
T000296,2024-01-31,P004,S01,32,5962.24
T000297,2024-01-31,P010,S02,15,1002.3
T000298,2024-02-01,P010,S03,16,1069.12
T000299,2024-02-01,P007,S02,18,5245.56
T000300,2024-02-01,P004,S02,31,5775.92
T000301,2024-02-01,P001,S01,5,297.3
T000302,2024-02-01,P002,S01,16,504.8
T000303,2024-02-01,P001,S01,3,178.38
T000304,2024-02-02,P002,S02,17,536.35
T000305,2024-02-02,P006,S03,19,396.53000000000003
T000306,2024-02-02,P003,S03,18,4713.4800000000005
T000307,2024-02-02,P008,S01,18,4540.5
T000308,2024-02-02,P005,S03,14,3035.2000000000003
T000309,2024-02-02,P005,S03,10,2168.0
T000310,2024-02-02,P007,S03,22,6411.240000000001
T000311,2024-02-02,P002,S02,17,536.35
T000312,2024-02-02,P001,S02,1,59.46
T000313,2024-02-03,P004,S03,36,6707.5199999999995
T000314,2024-02-03,P002,S01,20,631.0
T000315,2024-02-03,P005,S02,13,2818.4
T000316,2024-02-03,P009,S01,24,1812.48
T000317,2024-02-03,P009,S03,28,2114.56
T000318,2024-02-03,P004,S01,36,6707.5199999999995
T000319,2024-02-03,P002,S02,21,662.5500000000001
T000320,2024-02-03,P010,S02,16,1069.12
T000321,2024-02-03,P010,S03,17,1135.9399999999998
T000322,2024-02-04,P009,S01,30,2265.6
T000323,2024-02-04,P005,S03,15,3252.0
T000324,2024-02-04,P005,S03,19,4119.2
T000325,2024-02-04,P008,S03,17,4288.25
T000326,2024-02-04,P010,S01,18,1202.7599999999998
T000327,2024-02-04,P002,S01,18,567.9
T000328,2024-02-05,P005,S03,14,3035.2000000000003
T000329,2024-02-05,P007,S02,19,5536.9800000000005
T000330,2024-02-05,P003,S03,17,4451.62
T000331,2024-02-05,P008,S01,17,4288.25
T000332,2024-02-05,P005,S02,15,3252.0
T000333,2024-02-05,P010,S01,17,1135.9399999999998
T000334,2024-02-05,P005,S03,13,2818.4
T000335,2024-02-05,P005,S02,15,3252.0
T000336,2024-02-05,P004,S01,32,5962.24
T000337,2024-02-05,P006,S01,21,438.27000000000004
T000338,2024-02-06,P006,S01,21,438.27000000000004
T000339,2024-02-06,P006,S01,22,459.14000000000004
T000340,2024-02-06,P004,S03,32,5962.24
T000341,2024-02-06,P002,S02,15,473.25
T000342,2024-02-06,P003,S01,16,4189.76
T000343,2024-02-06,P010,S01,20,1336.3999999999999
T000344,2024-02-06,P001,S01,5,297.3
T000345,2024-02-06,P002,S02,15,473.25
T000346,2024-02-06,P006,S03,21,438.27000000000004
T000347,2024-02-06,P001,S01,6,356.76
T000348,2024-02-07,P010,S03,17,1135.9399999999998
T000349,2024-02-07,P009,S01,25,1888.0
T000350,2024-02-07,P001,S01,5,297.3
T000351,2024-02-07,P010,S03,17,1135.9399999999998
T000352,2024-02-07,P008,S03,18,4540.5
T000353,2024-02-07,P008,S02,21,5297.25
T000354,2024-02-08,P008,S03,15,3783.75
T000355,2024-02-08,P008,S03,15,3783.75
T000356,2024-02-08,P007,S03,22,6411.240000000001
T000357,2024-02-08,P001,S01,2,118.92
T000358,2024-02-08,P005,S02,13,2818.4
T000359,2024-02-08,P006,S03,21,438.27000000000004
T000360,2024-02-08,P010,S03,18,1202.7599999999998
T000361,2024-02-08,P003,S03,14,3666.04
T000362,2024-02-09,P007,S03,20,5828.400000000001
T000363,2024-02-09,P003,S02,17,4451.62
T000364,2024-02-09,P003,S01,17,4451.62
T000365,2024-02-09,P005,S03,15,3252.0
T000366,2024-02-09,P002,S01,12,378.6
T000367,2024-02-09,P005,S01,15,3252.0
T000368,2024-02-09,P010,S01,16,1069.12
T000369,2024-02-09,P006,S02,21,438.27000000000004
T000370,2024-02-09,P007,S01,20,5828.400000000001
T000371,2024-02-09,P009,S02,38,2869.7599999999998
T000372,2024-02-10,P008,S03,22,5549.5
T000373,2024-02-10,P009,S03,43,3247.3599999999997
T000374,2024-02-10,P009,S03,45,3398.3999999999996
T000375,2024-02-10,P003,S03,18,4713.4800000000005
T000376,2024-02-10,P008,S02,19,4792.75
T000377,2024-02-10,P008,S01,21,5297.25
T000378,2024-02-10,P003,S01,15,3927.9
T000379,2024-02-10,P010,S03,19,1269.58
T000380,2024-02-10,P005,S03,21,4552.8
T000381,2024-02-10,P007,S01,23,6702.660000000001
T000382,2024-02-10,P007,S02,21,6119.820000000001
T000383,2024-02-10,P006,S02,23,480.01000000000005
T000384,2024-02-11,P010,S01,19,1269.58
T000385,2024-02-11,P006,S02,22,459.14000000000004
T000386,2024-02-11,P007,S03,24,6994.08
T000387,2024-02-11,P006,S01,24,500.88
T000388,2024-02-11,P006,S03,20,417.40000000000003
T000389,2024-02-11,P007,S01,19,5536.9800000000005
T000390,2024-02-11,P009,S01,40,3020.7999999999997
T000391,2024-02-11,P007,S02,24,6994.08
T000392,2024-02-12,P010,S03,15,1002.3
T000393,2024-02-12,P001,S03,11,654.0600000000001
T000394,2024-02-12,P004,S02,20,3726.3999999999996
T000395,2024-02-12,P005,S02,13,2818.4
T000396,2024-02-12,P003,S03,15,3927.9
T000397,2024-02-12,P006,S01,16,333.92
T000398,2024-02-12,P007,S01,19,5536.9800000000005
T000399,2024-02-12,P003,S02,16,4189.76
T000400,2024-02-12,P010,S01,21,1403.2199999999998
T000401,2024-02-12,P001,S01,4,237.84
T000402,2024-02-12,P001,S02,4,237.84
T000403,2024-02-12,P009,S02,36,2718.72
T000404,2024-02-12,P001,S03,8,475.68
T000405,2024-02-13,P007,S01,20,5828.400000000001
T000406,2024-02-13,P006,S01,16,333.92
T000407,2024-02-13,P006,S03,19,396.53000000000003
T000408,2024-02-13,P003,S01,14,3666.04
T000409,2024-02-13,P007,S03,18,5245.56
T000410,2024-02-13,P001,S03,1,59.46
T000411,2024-02-13,P002,S02,17,536.35
T000412,2024-02-13,P001,S03,1,59.46
T000413,2024-02-13,P005,S02,10,2168.0
T000414,2024-02-13,P009,S01,38,2869.7599999999998
T000415,2024-02-13,P003,S02,17,4451.62
T000416,2024-02-13,P003,S01,18,4713.4800000000005
T000417,2024-02-13,P010,S03,16,1069.12
T000418,2024-02-14,P001,S01,8,475.68
T000419,2024-02-14,P004,S01,34,6334.88
T000420,2024-02-14,P001,S03,7,416.22
T000421,2024-02-14,P003,S02,23,6022.780000000001
T000422,2024-02-14,P001,S02,4,237.84
T000423,2024-02-15,P001,S01,6,356.76
T000424,2024-02-15,P010,S03,17,1135.9399999999998
T000425,2024-02-15,P007,S01,15,4371.3
T000426,2024-02-15,P005,S03,15,3252.0
T000427,2024-02-15,P004,S03,21,3912.72
T000428,2024-02-15,P005,S03,12,2601.6000000000004
T000429,2024-02-15,P009,S03,35,2643.2
T000430,2024-02-15,P009,S01,37,2794.24
T000431,2024-02-15,P004,S02,18,3353.7599999999998
T000432,2024-02-15,P008,S01,18,4540.5
T000433,2024-02-15,P001,S01,5,297.3
T000434,2024-02-15,P001,S01,6,356.76
T000435,2024-02-15,P002,S01,15,473.25
T000436,2024-02-16,P006,S03,20,417.40000000000003
T000437,2024-02-16,P002,S02,15,473.25
T000438,2024-02-16,P005,S03,12,2601.6000000000004
T000439,2024-02-16,P006,S01,17,354.79
T000440,2024-02-16,P003,S03,13,3404.1800000000003
T000441,2024-02-16,P010,S02,19,1269.58
T000442,2024-02-16,P002,S03,15,473.25
T000443,2024-02-16,P003,S01,17,4451.62
T000444,2024-02-16,P003,S01,11,2880.46
T000445,2024-02-16,P010,S03,15,1002.3
T000446,2024-02-16,P002,S01,18,567.9
T000447,2024-02-17,P001,S02,8,475.68
T000448,2024-02-17,P002,S02,16,504.8
T000449,2024-02-17,P007,S03,21,6119.820000000001
T000450,2024-02-17,P007,S02,25,7285.5
T000451,2024-02-17,P008,S01,23,5801.75
T000452,2024-02-17,P008,S02,25,6306.25
T000453,2024-02-17,P006,S03,27,563.49
T000454,2024-02-17,P003,S02,18,4713.4800000000005
T000455,2024-02-17,P010,S01,22,1470.04
T000456,2024-02-17,P003,S01,18,4713.4800000000005
T000457,2024-02-18,P003,S02,16,4189.76
T000458,2024-02-18,P009,S01,42,3171.8399999999997
T000459,2024-02-18,P004,S01,25,4658.0
T000460,2024-02-18,P004,S03,27,5030.639999999999
T000461,2024-02-18,P010,S02,19,1269.58
T000462,2024-02-18,P009,S01,46,3473.9199999999996
T000463,2024-02-18,P001,S01,5,297.3
T000464,2024-02-19,P009,S03,32,2416.64
T000465,2024-02-19,P010,S03,13,868.6599999999999
T000466,2024-02-19,P006,S03,21,438.27000000000004
T000467,2024-02-19,P001,S01,7,416.22
T000468,2024-02-19,P007,S01,16,4662.72
T000469,2024-02-19,P003,S03,12,3142.32
T000470,2024-02-19,P004,S03,20,3726.3999999999996
T000471,2024-02-19,P001,S02,6,356.76
T000472,2024-02-19,P006,S01,20,417.40000000000003
T000473,2024-02-19,P002,S03,19,599.45
T000474,2024-02-19,P003,S03,17,4451.62
T000475,2024-02-19,P006,S02,17,354.79
T000476,2024-02-19,P009,S01,34,2567.68
T000477,2024-02-19,P003,S03,15,3927.9
T000478,2024-02-20,P010,S02,17,1135.9399999999998
T000479,2024-02-20,P008,S01,21,5297.25
T000480,2024-02-20,P002,S03,19,599.45
T000481,2024-02-20,P006,S01,17,354.79
T000482,2024-02-20,P007,S02,17,4954.14
T000483,2024-02-20,P005,S03,17,3685.6000000000004
T000484,2024-02-20,P004,S03,21,3912.72
T000485,2024-02-20,P006,S01,20,417.40000000000003
T000486,2024-02-20,P008,S02,22,5549.5
T000487,2024-02-20,P001,S02,1,59.46
T000488,2024-02-20,P005,S03,14,3035.2000000000003
T000489,2024-02-20,P006,S01,22,459.14000000000004
T000490,2024-02-21,P007,S01,16,4662.72
T000491,2024-02-21,P001,S03,4,237.84
T000492,2024-02-21,P003,S02,16,4189.76
T000493,2024-02-21,P004,S02,20,3726.3999999999996
T000494,2024-02-21,P004,S01,19,3540.08
T000495,2024-02-21,P009,S03,23,1736.9599999999998
T000496,2024-02-21,P003,S03,16,4189.76
T000497,2024-02-21,P003,S03,13,3404.1800000000003
T000498,2024-02-21,P002,S03,17,536.35
T000499,2024-02-21,P006,S01,20,417.40000000000003
T000500,2024-02-21,P003,S03,17,4451.62
T000501,2024-02-21,P001,S03,4,237.84
T000502,2024-02-21,P009,S02,24,1812.48
T000503,2024-02-21,P008,S03,18,4540.5
T000504,2024-02-22,P008,S03,18,4540.5
T000505,2024-02-22,P008,S01,18,4540.5
T000506,2024-02-22,P006,S02,20,417.40000000000003
T000507,2024-02-22,P008,S03,20,5045.0
T000508,2024-02-22,P001,S03,4,237.84
T000509,2024-02-22,P007,S01,20,5828.400000000001
T000510,2024-02-22,P004,S01,19,3540.08
T000511,2024-02-22,P008,S01,20,5045.0
T000512,2024-02-22,P005,S03,13,2818.4
T000513,2024-02-22,P007,S01,19,5536.9800000000005
T000514,2024-02-22,P001,S02,7,416.22
T000515,2024-02-23,P003,S02,18,4713.4800000000005
T000516,2024-02-23,P008,S03,21,5297.25
T000517,2024-02-23,P010,S01,15,1002.3
T000518,2024-02-23,P002,S03,9,283.95
T000519,2024-02-23,P002,S01,14,441.7
T000520,2024-02-23,P009,S03,23,1736.9599999999998
T000521,2024-02-23,P001,S02,7,416.22
T000522,2024-02-23,P003,S03,16,4189.76
T000523,2024-02-23,P006,S02,21,438.27000000000004
T000524,2024-02-23,P009,S03,23,1736.9599999999998
T000525,2024-02-24,P001,S01,3,178.38
T000526,2024-02-24,P002,S02,17,536.35
T000527,2024-02-24,P009,S03,25,1888.0
T000528,2024-02-24,P006,S02,24,500.88
T000529,2024-02-24,P002,S02,17,536.35
T000530,2024-02-24,P005,S03,19,4119.2
T000531,2024-02-24,P010,S02,19,1269.58
T000532,2024-02-24,P002,S02,14,441.7
T000533,2024-02-24,P004,S03,20,3726.3999999999996
T000534,2024-02-25,P004,S01,23,4285.36
T000535,2024-02-25,P010,S03,20,1336.3999999999999
T000536,2024-02-25,P005,S01,15,3252.0
T000537,2024-02-25,P001,S01,5,297.3
T000538,2024-02-25,P008,S02,24,6054.0
T000539,2024-02-25,P003,S03,29,7593.9400000000005
T000540,2024-02-25,P003,S01,26,6808.360000000001
T000541,2024-02-25,P003,S02,27,7070.22
T000542,2024-02-25,P003,S03,30,7855.8
T000543,2024-02-25,P009,S01,24,1812.48
T000544,2024-02-25,P005,S01,16,3468.8
T000545,2024-02-25,P006,S01,24,500.88
T000546,2024-02-25,P004,S03,26,4844.32
T000547,2024-02-26,P002,S03,18,567.9
T000548,2024-02-26,P010,S02,15,1002.3
T000549,2024-02-26,P004,S02,15,2794.7999999999997
T000550,2024-02-26,P003,S02,26,6808.360000000001
T000551,2024-02-26,P010,S03,17,1135.9399999999998
T000552,2024-02-26,P007,S02,16,4662.72
T000553,2024-02-26,P006,S02,20,417.40000000000003
T000554,2024-02-27,P006,S03,18,375.66
T000555,2024-02-27,P006,S03,20,417.40000000000003
T000556,2024-02-27,P007,S03,18,5245.56
T000557,2024-02-27,P009,S03,18,1359.36
T000558,2024-02-27,P005,S03,16,3468.8
T000559,2024-02-27,P003,S03,26,6808.360000000001
T000560,2024-02-28,P010,S01,13,868.6599999999999
T000561,2024-02-28,P001,S01,1,59.46
